     0          0.00000631
     1          0.00001859
     2          0.00024659
     3          0.00293923
     4          0.02651613
     5          0.12880047
     6          0.28163556
     7          0.28739389
     8          0.16775924
     9          0.06966669
    10          0.02359543
    11          0.00783636
    12          0.00258509
    13          0.00074340
    14          0.00019520
    15          0.00004893
    16          0.00001000
    17          0.00000234
    18          0.00000045
    19          0.00000009
